rate_date,currency,exchange_rate_to_inr
2025-08-11,USD,90.69
2025-08-11,GBP,121.01
2025-08-11,INR,1.0
2025-08-11,EUR,104.1
2025-08-11,CAD,63.03
2025-08-11,AUD,57.97
2025-08-12,USD,90.03
2025-08-12,GBP,117.3
2025-08-12,INR,1.0
2025-08-12,EUR,101.9
2025-08-12,CAD,64.51
2025-08-12,AUD,57.38
2025-08-13,USD,91.36
2025-08-13,GBP,117.95
2025-08-13,INR,1.0
2025-08-13,EUR,101.63
2025-08-13,CAD,62.87
2025-08-13,AUD,57.99
2025-08-14,USD,90.61
2025-08-14,GBP,117.71
2025-08-14,INR,1.0
2025-08-14,EUR,104.34
2025-08-14,CAD,63.44
2025-08-14,AUD,58.08
2025-08-15,USD,89.9
2025-08-15,GBP,118.09
2025-08-15,INR,1.0
2025-08-15,EUR,104.26
2025-08-15,CAD,62.97
2025-08-15,AUD,58.57
2025-08-16,USD,89.22
2025-08-16,GBP,121.22
2025-08-16,INR,1.0
2025-08-16,EUR,102.76
2025-08-16,CAD,64.16
2025-08-16,AUD,57.29
2025-08-17,USD,89.58
2025-08-17,GBP,118.84
2025-08-17,INR,1.0
2025-08-17,EUR,101.28
2025-08-17,CAD,63.32
2025-08-17,AUD,57.19
2025-08-18,USD,90.84
2025-08-18,GBP,120.94
2025-08-18,INR,1.0
2025-08-18,EUR,101.71
2025-08-18,CAD,64.13
2025-08-18,AUD,58.06
2025-08-19,USD,91.85
2025-08-19,GBP,120.39
2025-08-19,INR,1.0
2025-08-19,EUR,102.44
2025-08-19,CAD,64.75
2025-08-19,AUD,58.12
2025-08-20,USD,90.05
2025-08-20,GBP,117.71
2025-08-20,INR,1.0
2025-08-20,EUR,104.54
2025-08-20,CAD,64.46
2025-08-20,AUD,58.81
2025-08-21,USD,89.25
2025-08-21,GBP,118.95
2025-08-21,INR,1.0
2025-08-21,EUR,101.56
2025-08-21,CAD,64.51
2025-08-21,AUD,57.11
2025-08-22,USD,92.73
2025-08-22,GBP,119.43
2025-08-22,INR,1.0
2025-08-22,EUR,103.86
2025-08-22,CAD,64.4
2025-08-22,AUD,57.69
2025-08-23,USD,91.43
2025-08-23,GBP,120.46
2025-08-23,INR,1.0
2025-08-23,EUR,101.08
2025-08-23,CAD,64.01
2025-08-23,AUD,56.92
2025-08-24,USD,91.31
2025-08-24,GBP,121.28
2025-08-24,INR,1.0
2025-08-24,EUR,104.28
2025-08-24,CAD,64.8
2025-08-24,AUD,58.79
2025-08-25,USD,92.62
2025-08-25,GBP,119.83
2025-08-25,INR,1.0
2025-08-25,EUR,103.36
2025-08-25,CAD,63.07
2025-08-25,AUD,58.89
2025-08-26,USD,90.49
2025-08-26,GBP,116.72
2025-08-26,INR,1.0
2025-08-26,EUR,104.52
2025-08-26,CAD,63.21
2025-08-26,AUD,57.35
2025-08-27,USD,92.71
2025-08-27,GBP,117.03
2025-08-27,INR,1.0
2025-08-27,EUR,103.32
2025-08-27,CAD,63.99
2025-08-27,AUD,58.96
2025-08-28,USD,91.62
2025-08-28,GBP,120.78
2025-08-28,INR,1.0
2025-08-28,EUR,101.41
2025-08-28,CAD,64.78
2025-08-28,AUD,56.89
2025-08-29,USD,90.07
2025-08-29,GBP,119.64
2025-08-29,INR,1.0
2025-08-29,EUR,101.88
2025-08-29,CAD,63.14
2025-08-29,AUD,59.12
2025-08-30,USD,91.54
2025-08-30,GBP,120.89
2025-08-30,INR,1.0
2025-08-30,EUR,101.67
2025-08-30,CAD,64.94
2025-08-30,AUD,58.16
2025-08-31,USD,90.26
2025-08-31,GBP,117.9
2025-08-31,INR,1.0
2025-08-31,EUR,103.02
2025-08-31,CAD,64.58
2025-08-31,AUD,58.06
2025-09-01,USD,91.28
2025-09-01,GBP,118.19
2025-09-01,INR,1.0
2025-09-01,EUR,104.35
2025-09-01,CAD,63.56
2025-09-01,AUD,58.6
2025-09-02,USD,92.57
2025-09-02,GBP,120.12
2025-09-02,INR,1.0
2025-09-02,EUR,103.35
2025-09-02,CAD,64.03
2025-09-02,AUD,57.35
2025-09-03,USD,91.63
2025-09-03,GBP,120.09
2025-09-03,INR,1.0
2025-09-03,EUR,103.25
2025-09-03,CAD,65.07
